X,Y,OBJECTID,County,PSC_NUMBER,SCHOOL_NAME,STREET,CITY,STATE,ZIP,Grades,School_Type
-8567140.9597,4686673.8485,619,Prince George's,16.157,Rose Valley Elementary,9800 JACQUELINE DRIVE,FORT WASHINGTON,MD,20744,PreK-5,Elementary
-8567538.6657,4722409.8815,620,Prince George's,16.158,Cherokee Lane Elementary,9000 25TH AVENUE,ADELPHI,MD,20783-1507,K-6,Elementary
-8562634.5941,4700853.6702,621,Prince George's,16.159,Drew-Freeman Middle,2600 BROOKS DRIVE,SUITLAND,MD,20746,6-8,Middle
-8544640.0365,4721213.7405,622,Prince George's,16.148,Rockledge Elementary,7701 LAUREL-BOWIE ROAD,BOWIE,MD,20715,PreK-5,Elementary
-8558926.0857,4697214.6692,623,Prince George's,16.149,Imagine Foundations at Morningside Public Charter,6900 AMES ST,SUITLAND,MD,20746,K-7,Elementary/Middle
-8548120.4218,4711037.891,624,Prince George's,16.150,Woodmore Elementary,12500 WOODMORE ROAD,MITCHELLVILLE,MD,20721,K-5,Elementary
-8569780.8042,4719333.2674,625,Prince George's,16.153,Carole Highlands Elementary,1610 HANNON STREET,TAKOMA PARK,MD,20912,PreK-6,Elementary
-8557741.8539,4717086.8353,626,Prince George's,16.142,Carrollton Elementary,8300 QUINTANA STREET,NEW CARROLLTON,MD,20784,PreK-5,Elementary
-8561335.2574,4689741.4117,627,Prince George's,16.143,Decatur (Stephen) Middle,8200 PINEWOOD DRIVE,CLINTON,MD,20735,6-8,Middle
-8553940.5207,4720188.1121,628,Prince George's,16.144,Reed (Catherine T.) Elementary,9501 GREENBELT ROAD,LANHAM,MD,20706,PreK-5,Elementary
-8554444.6055,4729388.9682,629,Prince George's,16.146,Montpelier Elementary,9200 MUIRKIRK ROAD,LAUREL,MD,20708,PreK-5,Elementary
-8559095.7273,4709728.7445,630,Prince George's,16.147,Columbia Park Elementary,1901 KENT VILLAGE DRIVE,LANDOVER,MD,20785,PreK-6,Elementary
-8568078.3811,4697947.6922,631,Prince George's,16.136,Angelou (Maya) French Immersion,2000 CALLAWAY ST,TEMPLE HILLS,MD,20748,K-8,Elementary/Middle
-8554826.8749,4732978.859,632,Prince George's,16.138,Oaklands Elementary,13710 LAUREL-BOWIE ROAD,LAUREL,MD,20708,PreK-5,Elementary
-8563118.0225,4694521.1275,633,Prince George's,16.139,Middleton Valley Academy,4815 DALTON ST,TEMPLE HILLS,MD,20748,PreK-8,PreK-8
-8564141.4469,4702085.6849,634,Prince George's,16.140,Green Valley Academy,2001 SHADYSIDE AVE,SUITLAND,MD,20746,6-10,Alternate
-8570526.8348,4695528.1613,635,Prince George's,16.141,Glassmanor Elementary,1011 MARCY AVENUE,OXON HILL,MD,20745,PreK-6,Elementary
-8560499.6185,4713006.5834,636,Prince George's,16.131,Cooper Lane Elementary,3817 COOPER LANE,LANDOVER HILLS,MD,20784,PreK-6,Elementary
-8541740.6765,4714768.6981,637,Prince George's,16.132,Heather Hills Elementary,12605 HEMING LANE,BOWIE,MD,20716,2-5,Elementary
-8568687.1624,4721980.5448,638,Prince George's,16.134,Cool Spring Elementary,8910 RIGGS ROAD,ADELPHI,MD,20783,PreK-6,Elementary
-8556285.2719,4719415.3441,639,Prince George's,16.135,Magnolia Elementary,8400 NIGHTINGALE DRIVE,LANHAM,MD,20706,PreK-6,Elementary
-8567167.2649,4716570.6751,640,Prince George's,16.124,Nicholas Orem Middle,6100 EDITORS PARK DRIVE,HYATTSVILLE,MD,20782,6-8,Middle
-8558800.0228,4703403.7027,641,Prince George's,16.126,Bayne (John H.) Elementary,7010 WALKER MILL ROAD,CAPITOL HEIGHTS,MD,20743,PreK-5,Elementary
-8557993.7204,4737218.6034,642,Prince George's,16.127,Scotchtown Hills Elementary,15950 DORSET ROAD,LAUREL,MD,20707,PreK-6,Elementary
-8570803.9138,4693447.531,643,Prince George's,16.128,Hanson (John) Montessori,6360 OXON HILL ROAD,OXON HILL,MD,20745,PreK-8,PreK-8
-8566052.9048,4700008.3327,644,Prince George's,16.129,Overlook  Elementary,3298 CURTIS DRIVE,TEMPLE HILLS,MD,20748,K-5,Elementary
-8568941.7452,4694763.7708,645,Prince George's,16.118,Valley View Elementary,5500 DANBY AVENUE,OXON HILL,MD,20745,PreK-5,Elementary
-8541342.3561,4708059.7262,646,Prince George's,16.119,Pointer Ridge Elementary,1110 PARKINGTON LANE,BOWIE,MD,20716,K-5,Elementary
