  Daily Lake Average Surface Water Temperature
                     From
 Great Lakes Surface Environmental Analysis maps

--------------------------------------------------------
                  Surf. Water Temp. (degrees C)

Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr
2022 279   11.58   16.00   15.70   17.56   16.61   16.31
2022 280   11.12   15.55   15.41   17.24   16.32   16.01
2022 281   10.70   15.11   14.99   16.82   15.96   15.47
2022 282   10.51   14.79   14.59   16.52   15.57   15.04
2022 283   10.49   14.62   14.34   16.33   15.23   14.86
2022 284   10.52   14.56   14.28   16.22   15.05   14.82
2022 285   10.49   14.50   14.24   16.11   14.94   14.79
2022 286   10.31   14.26   14.03   15.79   14.59   14.57
2022 287   10.11   13.87   13.80   15.46   14.26   14.19
2022 288    9.88   13.52   13.50   15.21   13.98   13.79
2022 289    9.58   13.20   13.14   14.97   13.55   13.32
2022 290    9.18   12.77   12.76   14.72   13.11   12.93
2022 291    8.78   12.16   12.35   14.24   12.66   12.34
2022 292    8.41   11.57   11.99   13.66   12.27   11.67
2022 293    8.19   11.22   11.75   13.24   11.94   11.14
2022 294    8.13   11.08   11.65   13.08   11.77   10.79
2022 295    8.20   11.11   11.64   13.17   11.82   10.83
2022 296    8.33   11.19   11.68   13.28   11.90   11.18
2022 297    8.31   11.18   11.74   13.40   12.05   11.50
2022 298    8.11   11.07   11.73   13.39   12.15   11.70
2022 299    7.89   10.89   11.63   13.30   12.16   12.00
2022 300    7.79   10.81   11.52   13.22   12.02   12.25
2022 301    7.83   10.89   11.46   13.15   11.89   12.31
2022 302    7.85   10.99   11.47   13.19   11.89   12.35
2022 303    7.87   11.06   11.48   13.17   11.95   12.54
2022 304    7.93   11.14   11.54   13.14   11.96   12.82
2022 305    8.04   11.23   11.59   13.13   11.96   13.02
2022 306    8.05   11.22   11.61   13.13   11.96   13.09
2022 307    8.05   11.12   11.57   13.20   12.02   13.12
2022 308    8.03   10.98   11.45   13.18   12.09   13.06
2022 309    7.92   10.66   11.27   13.21   12.12   13.07
2022 310    7.74   10.31   11.11   13.34   12.21   13.12
2022 311    7.61   10.15   11.01   13.38   12.24   13.01
2022 312    7.58   10.14   10.87   13.27   12.17   12.70
2022 313    7.64   10.19   10.77   13.21   12.08   12.41
2022 314    7.68   10.33   10.73   13.20   11.99   12.30
2022 315    7.60   10.26   10.67   13.23   11.95   12.30
2022 316    7.38   10.08   10.60   13.13   11.86   12.17
2022 317    6.99    9.80   10.50   12.87   11.68   12.10
2022 318    6.05    9.42   10.27   12.39   11.36   11.83
2022 319    5.86    9.13   10.10   11.96   11.17   11.46
2022 320    5.72    8.72    9.80   11.20   11.00   10.55
